fullName,loc_size,url,size_mb,commitsCountInDefaultBranchAfterGHAAdaptionPeriod_ghapi,ci_workflows_100plus_runs,category,isToyOrTutorial
Dreamacro/clash,medium,https://github.com/Dreamacro/clash,197.400,315,1,NonML,0
gogs/gogs,large,https://github.com/gogs/gogs,20.571.200,397,1,NonML,0
hwchase17/langchain,medium,https://github.com/hwchase17/langchain,3.361.300,2160,1,NonML,0
rustdesk/rustdesk,large,https://github.com/rustdesk/rustdesk,2.885.000,5678,2,NonML,0
jestjs/jest,large,https://github.com/jestjs/jest,29.327.100,1449,1,NonML,0
mastodon/mastodon,large,https://github.com/mastodon/mastodon,20.536.400,3064,4,NonML,0
square/retrofit,medium,https://github.com/square/retrofit,590.000,191,1,NonML,0
oven-sh/bun,large,https://github.com/oven-sh/bun,5.542.600,5285,7,NonML,0
sharkdp/bat,medium,https://github.com/sharkdp/bat,3.092.100,1040,1,NonML,0
sherlock-project/sherlock,small,https://github.com/sherlock-project/sherlock,1.677.800,592,2,NonML,0
Alamofire/Alamofire,medium,https://github.com/Alamofire/Alamofire,3.186.000,111,1,NonML,0
minio/minio,large,https://github.com/minio/minio,11.413.200,3324,7,NonML,0
styled-components/styled-components,medium,https://github.com/styled-components/styled-components,3.466.400,274,1,NonML,0
rust-lang/rustlings,small,https://github.com/rust-lang/rustlings,234.800,675,1,NonML,1
ultralytics/yolov5,medium,https://github.com/ultralytics/yolov5,1.482.100,2020,1,Tool,0
nektos/act,medium,https://github.com/nektos/act,651.000,578,1,NonML,0
rclone/rclone,large,https://github.com/rclone/rclone,18.371.300,2222,1,NonML,0
pandas-dev/pandas,large,https://github.com/pandas-dev/pandas,32.656.500,6209,4,Tool,0
huginn/huginn,medium,https://github.com/huginn/huginn,862.400,203,1,NonML,0
agalwood/Motrix,medium,https://github.com/agalwood/Motrix,6.953.700,310,1,NonML,0
BurntSushi/ripgrep,medium,https://github.com/BurntSushi/ripgrep,442.900,229,1,NonML,0
vuejs/core,large,https://github.com/vuejs/core,2.293.900,1792,1,NonML,0
Leaflet/Leaflet,medium,https://github.com/Leaflet/Leaflet,5.732.400,758,1,NonML,0
google/zx,small,https://github.com/google/zx,5.1700,351,1,NonML,0
hashicorp/terraform,large,https://github.com/hashicorp/terraform,29.982.100,3137,2,NonML,0
vuetifyjs/vuetify,medium,https://github.com/vuetifyjs/vuetify,8.409.100,3174,1,NonML,0
streamich/react-use,medium,https://github.com/streamich/react-use,8.405.500,275,1,NonML,0
hexojs/hexo,medium,https://github.com/hexojs/hexo,754.900,129,1,NonML,0
go-gitea/gitea,large,https://github.com/go-gitea/gitea,28.133.300,158,2,NonML,0
meilisearch/meilisearch,medium,https://github.com/meilisearch/meilisearch,5.441.100,5633,2,NonML,0
poteto/hiring-without-whiteboards,very small,https://github.com/poteto/hiring-without-whiteboards,334.500,383,1,NonML,1
Homebrew/brew,large,https://github.com/Homebrew/brew,7.236.400,12018,3,NonML,0
apache/spark,very large,https://github.com/apache/spark,48.413.900,7187,1,Tool,0
videojs/video.js,medium,https://github.com/videojs/video.js,12.666.600,294,1,NonML,0
evanw/esbuild,large,https://github.com/evanw/esbuild,1.691.600,2336,1,NonML,0
nolimits4web/swiper,medium,https://github.com/nolimits4web/swiper,7.876.600,1138,3,NonML,0
jesseduffield/lazygit,large,https://github.com/jesseduffield/lazygit,3.800.100,2032,1,NonML,0
topjohnwu/Magisk,medium,https://github.com/topjohnwu/Magisk,5.741.100,1284,1,NonML,0
AppFlowy-IO/AppFlowy,large,https://github.com/AppFlowy-IO/AppFlowy,4.591.400,3272,4,NonML,0
react-hook-form/react-hook-form,medium,https://github.com/react-hook-form/react-hook-form,2.781.600,1020,1,NonML,0
Kong/kong,large,https://github.com/Kong/kong,2.916.300,2241,4,NonML,0
