RepoName,RepoType,GitHubURL
toodef/neural-pipeline,Applied,https://github.com/toodef/neural-pipeline.git
intuit/foremast-brain,Applied,https://github.com/intuit/foremast-brain.git
ErikGartner/hyperdock,Applied,https://github.com/ErikGartner/hyperdock.git
zvtvz/zvt,Applied,https://github.com/zvtvz/zvt.git
vi3k6i5/flashtext,Applied,https://github.com/vi3k6i5/flashtext.git
wittawatj/kernel-gof,Applied,https://github.com/wittawatj/kernel-gof.git
titu1994/tfdiffeq,Applied,https://github.com/titu1994/tfdiffeq.git
ncbi-nlp/NegBio,Applied,https://github.com/ncbi-nlp/NegBio.git
atomistic-machine-learning/schnetpack,Applied,https://github.com/atomistic-machine-learning/schnetpack.git
nok/sklearn-porter,Applied,https://github.com/nok/sklearn-porter.git
mila-iqia/babyai,Applied,https://github.com/mila-iqia/babyai.git
SuperKogito/Voice-based-gender-recognition,Applied,https://github.com/SuperKogito/Voice-based-gender-recognition.git
duketemon/pyuplift,Applied,https://github.com/duketemon/pyuplift.git
proycon/gecco,Applied,https://github.com/proycon/gecco.git
pathwayforte/pathway-forte,Applied,https://github.com/pathwayforte/pathway-forte.git
huggingface/neuralcoref,Applied,https://github.com/huggingface/neuralcoref.git
indix/whatthelang,Applied,https://github.com/indix/whatthelang.git
ParrotPrediction/pyalcs,Applied,https://github.com/ParrotPrediction/pyalcs.git
IBM/MAX-Image-Resolution-Enhancer,Applied,https://github.com/IBM/MAX-Image-Resolution-Enhancer.git
raamana/graynet,Applied,https://github.com/raamana/graynet.git
ikegami-yukino/oseti,Applied,https://github.com/ikegami-yukino/oseti.git
Keep-Current/Engine,Applied,https://github.com/Keep-Current/Engine.git
a-slide/pycoQC,Applied,https://github.com/a-slide/pycoQC.git
samuelstjean/nlsam,Tool,https://github.com/samuelstjean/nlsam.git
LexPredict/lexpredict-lexnlp,Tool,https://github.com/LexPredict/lexpredict-lexnlp.git
Tiiiger/bert_score,Applied,https://github.com/Tiiiger/bert_score.git
ibrahimsharaf/doc2vec,Applied,https://github.com/ibrahimsharaf/doc2vec.git
